,Area,Perim.,Dmax,FeretX,FeretY,FeretAngle,Dmin
1,0.046724202,0.788659046,0.298455935,320.500000000,396.833343506,26.869850190,0.198770403
2,0.045363303,0.780810212,0.295485665,324.666656494,311.666656494,38.659749204,0.196792216
3,0.089819341,1.211432129,0.521321751,350.202697754,287.136749268,46.665551090,0.218925483
4,0.044909670,0.763812982,0.267272820,333.500000000,231.166671753,30.311229882,0.217881967
5,0.044456037,0.754048669,0.263856349,359.000000000,184.833328247,95.403740091,0.215096845
6,0.032661578,0.677534514,0.271691598,286.666656494,357.500000000,28.909099478,0.151140157
7,0.046724202,0.781038776,0.290051736,320.839294434,397.616546631,28.269476124,0.203531942
8,0.039466074,0.717601790,0.266493347,326.333343506,405.500000000,131.760199185,0.187000806
9,0.045363303,0.757863590,0.276508778,337.087738037,399.139831543,37.890210055,0.203320444
10,0.068952221,0.958228634,0.349612452,348.166656494,383.833343506,167.092625939,0.257074511
11,0.059425927,0.860134756,0.290496552,351.000000000,415.500000000,141.449508073,0.256735307
12,0.083922111,1.113401190,0.456501846,357.000000000,442.000000000,36.780828813,0.234607348
13,0.069859487,1.021259419,0.418723259,294.666656494,482.666656494,172.694240467,0.215192017
14,0.045816936,0.820122934,0.336255905,320.166656494,489.166656494,79.045937357,0.172810048
15,0.084375744,1.069457140,0.411483329,356.000000000,473.000000000,100.437475351,0.261143016
16,0.048538735,0.801671389,0.292462817,335.833343506,563.333312988,84.427870200,0.215107194
17,0.042187872,0.735586282,0.248898156,336.785766602,626.960632324,8.830456652,0.219063844
18,0.076210350,0.977683003,0.330815612,314.000000000,647.000000000,56.821488341,0.291162221
19,0.055796863,0.864819507,0.320444644,336.500000000,646.333312988,140.844541416,0.226223932
20,0.069859487,1.013618387,0.412239031,304.255767822,681.454772949,25.901330526,0.218241655
21,0.075756717,0.991118211,0.364868388,492.166656494,470.166656494,19.316298204,0.262076768
22,0.059425927,0.863887947,0.300873449,517.833312988,403.333343506,109.290151365,0.247994868
23,0.039012441,0.710683022,0.233237714,510.666656494,368.833343506,107.475699351,0.219232299
24,0.076663983,1.015196700,0.381916007,495.841827393,390.781127930,12.718415475,0.258638199
25,0.039919707,0.737511005,0.277450921,481.166656494,414.666656494,176.332167294,0.187893163
26,0.078024882,1.011755628,0.380621735,469.500000000,444.333343506,70.382131542,0.257761702
27,0.036744276,0.695253772,0.261553442,449.333343506,437.500000000,71.811029665,0.177127196
28,0.056704129,0.849428519,0.281363756,440.972686768,412.681671143,69.186700895,0.259346791
29,0.030847046,0.667662765,0.269230705,452.190368652,415.762847900,37.887552298,0.146913741
30,0.062147726,0.911427986,0.340852554,439.000000000,384.333343506,91.193525836,0.234654998
31,0.058065028,0.962132992,0.410441151,422.666656494,429.666656494,139.559989324,0.179420954
32,0.057611395,0.859099013,0.315111614,431.833343506,463.333343506,75.650715886,0.228528274
33,0.063508625,0.913623804,0.335110562,428.333343506,496.333343506,126.384314146,0.243032103
34,0.067591322,0.940348603,0.344913414,334.500000000,549.000000000,98.880659151,0.250141422
35,0.039919707,0.715966115,0.262611328,337.000000000,627.666687012,9.335006131,0.190453512
36,0.060333193,0.886568586,0.325187135,314.333343506,646.000000000,53.880614145,0.235835341
37,0.058972294,0.888784693,0.326000338,346.666656494,567.833312988,125.247606156,0.236425100
38,0.049446001,0.806985625,0.295996609,371.166656494,593.000000000,112.567079995,0.214665506
39,0.058972294,0.860435314,0.275536689,357.333343506,604.000000000,104.931330114,0.272402621
40,0.068952221,0.964081891,0.369175026,335.544738770,618.917358398,56.281478560,0.237621869
41,0.048085102,0.809008834,0.309793058,192.875000000,495.625000000,114.362453015,0.199400285
42,0.053982331,0.856067331,0.327813076,194.250000000,486.875000000,69.062714726,0.210998985
43,0.050806900,0.873412433,0.359266443,173.950973511,467.506011963,41.291343266,0.182406312
44,0.061240460,0.952124192,0.391643549,241.125000000,440.000000000,82.971603761,0.198844776
45,0.050806900,0.828315154,0.319479941,277.750000000,418.000000000,126.869897646,0.201280016
46,0.045363303,0.771724168,0.287975327,261.750000000,402.750000000,109.440034828,0.199447377
47,0.042641505,0.753422609,0.280743681,270.000000000,404.250000000,52.696051722,0.194438848
48,0.046270569,0.773436994,0.288614563,262.250000000,372.500000000,119.875992692,0.199890102
49,0.050806900,0.823667195,0.307358226,194.500000000,387.000000000,14.036243468,0.212871682
50,0.056250496,0.857339199,0.319923355,168.250000000,459.000000000,71.565051177,0.221574101
51,0.058972294,0.887102789,0.331029802,327.250000000,402.750000000,115.740708356,0.229266259
52,0.051260533,0.823172816,0.307173682,277.750000000,418.250000000,123.690067526,0.212743869
53,0.060786826,0.877574765,0.289693133,306.500000000,443.250000000,143.972626615,0.268973533
54,0.068044955,0.923794485,0.304950442,388.000000000,450.250000000,114.775140569,0.283139600
55,0.040826973,0.706971315,0.233375912,346.000000000,508.750000000,34.777831366,0.216684265
56,0.052621432,0.873773206,0.358180251,296.000000000,482.500000000,174.882685150,0.184216657
57,0.052621432,0.873773206,0.358180251,296.000000000,482.500000000,174.882685150,0.184216657
58,0.034476111,0.708845751,0.290572622,320.000000000,488.750000000,76.218402764,0.149445193
59,0.053528698,0.864602924,0.339152364,265.250000000,551.750000000,67.864508122,0.202840384
60,0.062147726,0.931095024,0.365234807,297.500000000,543.500000000,134.409342785,0.218439782
61,0.053982331,0.828673958,0.287581245,335.250000000,550.500000000,91.060911690,0.239016185
62,0.080293047,1.009040203,0.350175212,345.500000000,567.750000000,135.616059908,0.291039644
63,0.092541139,1.077305670,0.373865856,335.750000000,619.750000000,54.272601777,0.310729549
64,0.048992368,0.797992907,0.276933809,336.500000000,626.500000000,178.898293885,0.230166826
65,0.078478515,0.997608949,0.346208402,347.666656494,383.666656494,164.538766818,0.287742726
66,0.041280606,0.731412060,0.253827360,325.833343506,406.333343506,137.834045357,0.210962461
67,0.047631469,0.781281402,0.271134660,351.666656494,415.166656494,133.939057739,0.225347004
68,0.073488551,1.108756990,0.481464127,355.212280273,442.149688721,34.538524496,0.193549149
69,0.051260533,0.809904909,0.264523903,341.333343506,458.000000000,130.100907546,0.251154558
70,0.070766753,1.003520807,0.403895334,354.500000000,473.000000000,102.692635561,0.221857919
71,0.045363303,0.789596120,0.304868071,365.333343506,482.833343506,62.241533360,0.191464983
72,0.044909670,0.766390364,0.276290149,380.000000000,477.000000000,159.702414642,0.209462874
73,0.046724202,0.773944472,0.279013514,326.666656494,405.666656494,126.724142834,0.211527530
74,0.068498588,0.951093451,0.352555600,496.666656494,398.333343506,115.016893478,0.248620584
75,0.050806900,0.808273796,0.299614950,469.000000000,476.000000000,126.326834788,0.211287081
76,0.042641505,0.747930883,0.277246595,393.000000000,377.000000000,50.194394510,0.195513020
77,0.096170203,1.131784458,0.419535001,422.000000000,381.666656494,66.037511025,0.295854148
78,0.069859487,0.963926920,0.357313211,423.666656494,429.666656494,139.028309226,0.251975629
79,0.051260533,0.813025211,0.301375771,343.666656494,455.333343506,105.018450872,0.212528804
80,0.065776790,0.933969182,0.346208402,383.666656494,502.333343506,74.538766818,0.244144568
81,0.029486147,0.627373836,0.232557513,350.333343506,510.666656494,77.661005607,0.163998486
82,0.104789231,1.171910541,0.434409187,355.333343506,472.000000000,101.309932474,0.306343356
83,0.053075065,0.823782038,0.305363037,385.333343506,367.666656494,72.407640653,0.215340605
84,0.050353267,0.812573428,0.301208577,335.333343506,549.333312988,98.130102354,0.212410899
85,0.081653946,1.047102983,0.388144900,386.333343506,534.666687012,129.805546523,0.273717994
86,0.073488551,0.987238866,0.365953757,469.333343506,445.666656494,71.916598051,0.258068902
87,0.044002404,0.755737367,0.280140269,511.666656494,380.000000000,81.253706345,0.197553626
88,0.067137689,0.939256198,0.348168056,226.000000000,484.333343506,69.717436549,0.245526507
89,0.055796863,0.860160290,0.318848669,334.333343506,550.000000000,101.560115190,0.224850611
90,0.090726607,1.097058085,0.406663481,318.666656494,553.666687012,44.292725397,0.286777212
91,0.058518661,0.880392270,0.326347755,301.000000000,496.333343506,134.118568696,0.230138932
92,0.039012441,0.708644135,0.262683074,308.333343506,563.000000000,90.000000000,0.185242892
93,0.046270569,0.766749818,0.270343369,343.666656494,590.666687012,23.198554337,0.216446727
94,0.060333193,0.880697091,0.310519332,335.000000000,625.666687012,169.460980796,0.248613062
95,0.054435964,0.837998118,0.295463954,314.333343506,646.333312988,54.782358574,0.236559180
96,0.077571249,1.006387772,0.354835025,314.666656494,608.666687012,109.885278509,0.284093817
97,0.034476111,0.669345419,0.236000535,229.000000000,503.333343506,74.291390654,0.188950606
98,0.058518661,0.869577898,0.306598528,237.666671753,503.666656494,42.184440503,0.245473925
99,0.088458442,1.070232979,0.377346015,246.666671753,517.000000000,101.944158620,0.302116934
100,0.043548771,0.749095463,0.264118429,319.000000000,498.333343506,143.746238066,0.211462813
101,0.088912075,1.065677213,0.375740296,353.000000000,474.666656494,112.203435459,0.300831337
102,0.031754312,0.639609218,0.225515830,366.333343506,471.666656494,118.178564116,0.180556170
103,0.047177835,0.784263300,0.276517990,277.333343506,419.333343506,138.122133920,0.221390353